id,roomId,allowsVisibility,allowsSmell,allowsAccess,allowsSound
1,1,0,0,0,0
2,1,0,0,1,0
3,1,1,0,1,0
4,1,0,0,0,0
5,2,0,0,0,0
6,2,0,0,1,0
7,2,1,0,0,0
8,2,0,0,1,0
9,3,0,0,0,0
10,3,0,0,0,0
11,3,0,0,0,0
12,3,0,0,1,0
13,4,0,0,0,0
14,4,0,0,1,0
15,4,1,0,1,0
16,4,0,0,0,0
17,5,0,0,0,0
18,5,0,0,0,0
19,5,0,0,0,0
20,5,0,0,1,0
21,6,0,0,0,0
22,6,1,0,1,0
23,6,0,0,1,0
24,6,0,0,0,0
25,7,0,0,0,0
26,7,1,0,1,0
27,7,0,0,0,0
28,7,1,0,1,0
29,8,0,0,0,0
30,8,1,0,1,0
31,8,0,0,0,0
32,8,1,0,1,0
33,9,0,0,0,0
34,9,0,0,1,0
35,9,0,0,1,0
36,9,1,0,1,0
37,10,0,0,0,0
38,10,0,0,0,0
39,10,1,0,1,0
40,10,1,0,1,0
41,11,1,0,1,0
42,11,1,0,1,0
43,11,1,0,0,0
44,11,1,0,0,0
45,12,1,0,0,0
46,12,1,0,1,0
47,12,1,0,0,0
48,12,1,0,1,0
49,13,1,0,0,0
50,13,1,0,1,0
51,13,1,0,1,0
52,13,1,0,1,0
53,14,1,0,1,0
54,14,1,0,1,0
55,14,1,0,0,0
56,14,1,0,1,0
57,15,1,0,0,0
58,15,1,0,1,0
59,15,1,0,0,0
60,15,1,0,1,0
61,16,0,0,1,0
62,16,0,0,0,0
63,16,1,0,1,0
64,16,0,0,1,0
65,17,0,0,0,0
66,17,1,0,1,0
67,17,0,0,1,0
68,17,0,0,0,0
69,18,0,0,1,0
70,18,1,0,1,0
71,18,1,0,1,0
72,18,1,0,1,0
73,19,0,0,1,0
74,19,0,0,0,0
75,19,1,0,1,0
76,19,1,0,1,0
77,20,1,0,1,0
78,20,0,0,0,0
79,20,1,0,1,0
80,20,1,0,1,0
81,21,0,0,0,0
82,21,1,0,1,0
83,21,1,0,1,0
84,21,0,0,0,0
85,22,0,0,0,0
86,22,1,0,1,0
87,22,1,0,0,0
88,22,1,0,1,0
89,23,0,0,1,0
90,23,1,0,1,0
91,23,1,0,0,0
92,23,1,0,1,0
93,24,0,0,0,0
94,24,0,0,0,0
95,24,1,0,1,0
96,24,1,0,1,0
97,25,0,0,0,0
98,25,0,0,0,0
99,25,0,0,1,0
100,25,0,0,0,0
101,26,1,0,1,0
102,26,1,0,1,0
103,26,0,0,0,0
104,26,0,0,0,0
105,27,0,0,1,0
106,27,0,0,1,0
107,27,0,0,0,0
108,27,1,0,1,0
109,28,1,0,1,0
110,28,1,0,1,0
111,28,0,0,0,0
112,28,1,0,1,0
113,29,1,0,1,0
114,29,0,0,0,0
115,29,0,0,0,0
116,29,1,0,1,0
117,30,1,0,1,0
118,30,0,0,0,0
119,30,1,0,1,0
120,30,1,0,0,0
121,31,1,0,1,0
122,31,1,0,0,0
123,31,1,0,1,0
124,31,0,0,0,0
125,32,0,0,0,0
126,32,0,0,0,0
127,32,0,0,0,0
128,32,0,0,0,0
129,33,0,0,0,0
130,33,0,0,0,0
131,33,0,0,0,0
132,33,0,0,0,0
133,34,1,0,1,0
134,34,1,0,1,0
135,34,1,0,1,0
136,34,1,0,0,0
137,35,0,0,1,0
138,35,0,0,0,0
139,35,1,0,1,0
140,35,0,0,1,0
141,36,0,0,0,0
142,36,1,0,1,0
143,36,1,0,1,0
144,36,0,0,0,0
145,37,0,0,0,0
146,37,0,0,0,0
147,37,0,0,0,0
148,37,1,0,1,0
149,38,1,0,0,0
150,38,1,0,1,0
151,38,1,0,1,0
152,38,1,0,0,0
153,39,1,0,0,0
154,39,1,0,1,0
155,39,1,0,1,0
156,39,1,0,1,0
157,40,1,0,1,0
158,40,0,0,0,0
159,40,1,0,1,0
160,40,1,0,1,0
161,41,1,0,1,0
162,41,1,0,1,0
163,41,1,0,1,0
164,41,0,0,0,0
165,42,1,0,0,0
166,42,1,0,1,0
167,42,1,0,1,0
168,42,1,0,1,0
169,43,1,0,0,0
170,43,1,0,1,0
171,43,1,0,1,0
172,43,1,0,1,0
173,44,1,0,1,0
174,44,0,0,0,0
175,44,1,0,1,0
176,44,1,0,1,0
177,45,1,0,1,0
178,45,0,0,0,0
179,45,1,0,1,0
180,45,0,0,0,0
181,46,1,0,1,0
182,46,0,0,0,0
183,46,1,0,1,0
184,46,0,0,0,0
185,47,0,0,0,0
186,47,0,0,0,0
187,47,1,0,1,0
188,47,0,0,0,0
189,48,1,0,1,0
190,48,1,0,1,0
191,48,1,0,1,0
192,48,1,0,0,0
193,49,1,0,1,0
194,49,1,0,1,0
195,49,1,0,1,0
196,49,1,0,1,0
197,50,1,0,1,0
198,50,0,0,0,0
199,50,1,0,1,0
200,50,1,0,1,0
201,51,1,0,1,0
202,51,1,0,1,0
203,51,0,0,1,0
204,51,0,0,0,0
205,52,1,0,1,0
206,52,1,0,1,0
207,52,1,0,1,0
208,52,1,0,1,0
209,53,1,0,1,0
210,53,1,0,1,0
211,53,1,0,1,0
212,53,1,0,1,0
213,54,1,0,1,0
214,54,0,0,0,0
215,54,1,0,1,0
216,54,1,0,1,0
217,55,1,0,1,0
218,55,0,0,0,0
219,55,0,0,0,0
220,55,0,0,0,0
221,56,1,0,1,0
222,56,0,0,1,0
223,56,1,0,1,0
224,56,0,0,0,0
225,57,1,0,1,0
226,57,0,0,0,0
227,57,1,0,1,0
228,57,0,0,1,0
229,58,1,0,1,0
230,58,1,0,1,0
231,58,1,0,1,0
232,58,1,0,0,0
233,59,1,0,1,0
234,59,1,0,1,0
235,59,1,0,1,0
236,59,1,0,1,0
237,60,1,0,1,0
238,60,0,0,0,0
239,60,1,0,1,0
240,60,1,0,1,0
241,61,0,0,1,0
242,61,0,0,0,0
243,61,0,0,0,0
244,61,0,0,0,0
245,62,1,0,1,0
246,62,1,0,1,0
247,62,1,0,1,0
248,62,0,0,0,0
249,63,1,0,1,0
250,63,1,0,1,0
251,63,1,0,0,0
252,63,1,0,1,0
253,64,1,0,1,0
254,64,0,0,0,0
255,64,0,0,1,0
256,64,1,0,1,0
257,65,0,0,0,0
258,65,1,0,1,0
259,65,1,0,1,0
260,65,0,0,0,0
261,66,1,0,1,0
262,66,0,0,0,0
263,66,0,0,0,0
264,66,1,0,1,0
265,67,1,0,1,0
266,67,0,0,1,0
267,67,0,0,0,0
268,67,0,0,0,0
269,68,1,0,1,0
270,68,1,0,1,0
271,68,1,0,1,0
272,68,1,0,1,0
273,69,0,0,1,0
274,69,0,0,0,0
275,69,0,0,1,0
276,69,0,0,0,0
277,70,1,0,1,0
278,70,0,0,0,0
279,70,1,0,1,0
280,70,1,0,0,0
281,71,0,0,0,0
282,71,0,0,1,0
283,71,0,0,1,0
284,71,0,0,0,0
285,72,0,0,1,0
286,72,1,0,1,0
287,72,1,0,1,0
288,72,0,0,1,0
289,73,1,0,0,0
290,73,0,0,0,0
291,73,1,0,1,0
292,73,1,0,1,0
293,74,0,0,1,0
294,74,1,0,1,0
295,74,1,0,1,0
296,74,0,0,0,0
297,75,1,0,1,0
298,75,0,0,0,0
299,75,0,0,1,0
300,75,1,0,1,0
301,76,0,0,0,0
302,76,0,0,1,0
303,76,0,0,1,0
304,76,0,0,0,0
305,77,0,0,0,0
306,77,0,0,1,0
307,77,0,0,0,0
